report_id,panel,led_packages,measured_wall_w,wall_w_per_package,grid_avg_6in_mw_cm2,grid_avg_12in_mw_cm2,grid_avg_18in_mw_cm2,grid_avg_24in_mw_cm2,center_6in_mw_cm2,max_6in_mw_cm2,pl300_drive_scale,scaled_6in_mw_cm2,scaled_12in_mw_cm2,scaled_18in_mw_cm2,scaled_24in_mw_cm2,source_url,similarity_note
LLIA002684-001,BIOMAX 300,100,174.8,1.748,71.79,56.25,43.89,35.30,90.41,108.16,0.686,49.28,38.62,30.13,24.23,https://device.report/m/c1072ea1abfbeaac9ffb660ea87223874e564664f10ca36b0eabe2da47d85f58.pdf,Same laboratory protocol but much smaller panel
LLIA002684-002,BIOMAX 450,150,248.8,1.659,79.79,67.67,54.60,44.73,90.36,106.50,0.723,57.73,48.96,39.50,32.36,https://device.report/m/f1c6b008415d2f4a98696a7b7f09617d269281f18504314801cdaac7787e4505,Same laboratory protocol but half the package count
LLIA002684-003,BIOMAX 600,200,345.6,1.728,84.30,66.00,53.77,45.18,84.22,129.96,0.694,58.54,45.83,37.34,31.37,https://device.report/m/869e5e0f9161fa349510ff891910f7c7fcd2645df62e19f0bb0ba69a22949f9d,Close measured wall input; smaller emitting area and package count
LLIA002684-004,BIOMAX 900,300,484.4,1.615,83.13,71.29,60.63,52.35,79.92,112.19,0.743,61.78,52.98,45.06,38.91,https://device.report/m/cc7ef1922e5a5aa59b8a4e9e263e427018912f7d4f8a0df3126a523059e30537.pdf,Exact 300-package count and close panel length; higher measured input
LLIA002684-005,BIOMAX PRO GRANDE,288,497.7,1.728,84.15,69.52,58.68,50.54,92.41,99.11,0.694,58.43,48.27,40.75,35.09,https://device.report/m/d16b1ad3f6a10f1b0949127f111c0e76d0115c951818450ac1e4a2f1aa086f16,Closest package count after BIOMAX 900; higher measured input
LLIA002684-006,BIOMAX PRO ULTRA,432,772.6,1.788,102.62,91.28,79.62,69.90,121.12,124.27,0.671,68.86,61.25,53.42,46.90,https://device.report/m/b2d88a912242cefab260e457e26f5051aaed70f509c66f134c41c6873906698b.pdf,Same protocol but substantially larger and more powerful
LLIA002684-007,BIOMAX PRO MIDI,216,380.8,1.763,90.27,81.82,69.60,57.88,82.77,112.70,0.681,61.44,55.69,47.37,39.40,https://device.report/m/cd36bb1799fb6a1da84f940ca9786c153a8917f22b6e6e4a5e214e9597ca0168.pdf,Closest measured wall input; smaller package count and emitting area
